ID,Vendor,Country,Product_Group,Sub_Classification,Shipment_Mode,Year,Quarter,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Freight_Type,Freight_Cost_USD,Line_Item_Value,Freight_Cost_Ratio,Dosage_Applicable,Weight_Kilograms
46502,HETERO LABS LIMITED,Vietnam,ARV,Adult,Air,2013,2,0,On Time,On Time,Absorbed,,170639.0,,Applicable,
46512,"Orgenics, Ltd",Côte d'Ivoire,HRDT,HIV test,Air,2011,3,0,On Time,On Time,Separate,7681.19,39520.0,19.44,Not Applicable,240.0
46513,PHARMACY DIRECT,South Africa,ARV,Adult,Truck,2015,2,0,On Time,On Time,Absorbed,,240.14,,Applicable,
46556,S. BUYS WHOLESALER,South Africa,ARV,Pediatric,Truck,2014,4,0,On Time,On Time,Absorbed,,10.34,,Applicable,
46574,CIPLA LIMITED,Rwanda,ARV,Pediatric,Air,2012,2,0,On Time,On Time,Separate,221.96,2466.24,9.0,Applicable,49.0
46582,CIPLA LIMITED,Vietnam,ARV,Adult,Air,2011,2,0,On Time,On Time,Separate,4890.38,29025.0,16.85,Applicable,320.0
46587,Aurobindo Pharma Limited,South Africa,ARV,Adult,Air,2010,2,0,On Time,On Time,Separate,4116.82,132518.87,3.11,Applicable,2512.0
46590,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,ARV,Adult,Air,2010,3,0,On Time,On Time,Separate,13241.08,272710.3,4.86,Applicable,5101.0
46625,"Standard Diagnostics, Inc.",Sudan,HRDT,HIV test,Air,2010,4,0,On Time,On Time,Separate,1539.55,480.0,320.74,Not Applicable,75.0
46653,S. BUYS WHOLESALER,South Africa,ARV,Pediatric,Truck,2009,3,0,On Time,On Time,Absorbed,,2040.28,,Applicable,
46669,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,HRDT,HIV test,Air,2011,4,0,On Time,On Time,Separate,2951.78,53650.0,5.5,Not Applicable,592.0
46673,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2014,1,0,On Time,On Time,Absorbed,,6189.33,,Applicable,
46688,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2014,3,0,On Time,On Time,Absorbed,,1722.87,,Applicable,
46726,ASPEN PHARMACARE,Uganda,ARV,Adult,Air,2012,1,0,On Time,On Time,Separate,375.0,6811.81,5.51,Applicable,16.0
46727,"Orgenics, Ltd",Tanzania,HRDT,HIV test,Air,2012,4,0,On Time,On Time,Separate,18638.44,181120.0,10.29,Not Applicable,980.0
46742,EMCURE PHARMACEUTICALS LTD,Vietnam,ARV,Adult,Air,2014,2,0,On Time,On Time,Separate,2181.91,29755.1,7.33,Applicable,875.0
46844,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Côte d'Ivoire,HRDT,HIV test,Air,2010,1,0,On Time,On Time,Separate,7208.0,82323.0,8.76,Not Applicable,904.0
46848,MICRO LABS LIMITED,Vietnam,ARV,Pediatric,Air,2013,1,0,On Time,On Time,Absorbed,,1317.16,,Applicable,
46858,"Orgenics, Ltd",Mozambique,HRDT,HIV test - Ancillary,Air,2012,4,0,On Time,On Time,Separate,1001.02,1075.0,93.12,Not Applicable,41.0
46860,STRIDES ARCOLAB LIMITED,Vietnam,ARV,Adult,Air,2010,4,0,On Time,On Time,Separate,10546.68,264000.0,3.99,Applicable,2769.0
46867,"Orgenics, Ltd",Uganda,HRDT,HIV test,Air,2015,2,0,On Time,On Time,Separate,19775.55,489440.0,4.04,Not Applicable,2477.0
46869,"Standard Diagnostics, Inc.",Côte d'Ivoire,HRDT,HIV test,Air,2015,1,0,On Time,On Time,Separate,5408.93,28700.0,18.85,Not Applicable,437.0
46875,"Orgenics, Ltd",Zimbabwe,HRDT,HIV test,Air,2014,2,0,On Time,On Time,Separate,51732.62,702960.0,7.36,Not Applicable,3567.0
46895,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,HRDT,HIV test,Air,2014,1,0,On Time,On Time,Separate,5850.25,111584.0,5.24,Not Applicable,1252.0
46897,HETERO LABS LIMITED,Vietnam,ARV,Adult,Air,2014,1,0,On Time,On Time,Separate,2048.91,45060.15,4.55,Applicable,975.0
46942,CIPLA LIMITED,South Africa,ARV,Adult,Air,2010,4,0,On Time,On Time,Separate,2531.3,172800.0,1.46,Applicable,1087.0
46956,"Orgenics, Ltd",Namibia,HRDT,HIV test,Air,2011,1,0,On Time,On Time,Separate,947.35,11655.0,8.13,Not Applicable,34.0
46987,"Orgenics, Ltd",Tanzania,HRDT,HIV test,Air,2012,4,0,On Time,On Time,Separate,19026.72,188160.0,10.11,Not Applicable,1016.0
47025,Aurobindo Pharma Limited,South Africa,ARV,Adult,Air,2010,2,0,On Time,On Time,Separate,6105.79,158985.48,3.84,Applicable,2892.0
47035,Aurobindo Pharma Limited,Angola,ARV,Pediatric,Air,2013,1,0,On Time,On Time,Separate,840.17,806.4,104.19,Applicable,21.0
