ID,Country,Vendor,Shipment_Mode,Year,Quarter,Month,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Product_Group,Line_Item_Value,Freight_Cost_USD,Freight_Type,Weight_Kilograms,Freight_Cost_Ratio
2437,South Africa,S. BUYS WHOLESALER,Air,2009,2,5,2009-05-26,2009-01-22,-124,On Time,Early,ARV,16307.2,,Absorbed,,
2438,South Africa,S. BUYS WHOLESALER,Air,2009,1,3,2009-03-31,2008-11-21,-130,On Time,Early,ARV,371.0,,Absorbed,,
2439,South Africa,S. BUYS WHOLESALER,Air,2009,1,3,2009-03-30,2009-01-21,-68,On Time,Early,ARV,2920.0,,Absorbed,,
2440,South Africa,S. BUYS WHOLESALER,Air,2009,1,3,2009-03-30,2009-01-21,-68,On Time,Early,ARV,4035.2,,Absorbed,,
2441,Uganda,BRISTOL-MYERS SQUIBB,Air,2009,2,5,2009-05-04,2009-05-04,0,On Time,On Time,ARV,1100.4,428.91,Separate,3000.0,38.98
2447,South Africa,S. BUYS WHOLESALER,Truck,2009,2,4,2009-04-17,2009-04-17,0,On Time,On Time,ARV,160900.0,,Absorbed,,
2450,South Africa,S. BUYS WHOLESALER,Air,2009,2,6,2009-06-25,2009-04-20,-66,On Time,Early,ARV,2265.9,,Absorbed,,
2451,South Africa,S. BUYS WHOLESALER,Air,2009,2,6,2009-06-25,2009-04-20,-66,On Time,Early,ARV,15150.0,,Absorbed,,
2463,Rwanda,CIPLA LIMITED,Air,2009,2,4,2009-04-20,2009-04-20,0,On Time,On Time,ARV,71344.0,853.88,Separate,719.0,1.2
2474,South Africa,S. BUYS WHOLESALER,Air,2009,3,7,2009-07-31,2009-04-20,-102,On Time,Early,ARV,1440.0,,Absorbed,,
2475,South Africa,S. BUYS WHOLESALER,Truck,2009,3,7,2009-07-31,2009-05-04,-88,On Time,Early,ARV,43.2,,Absorbed,,
2476,South Africa,S. BUYS WHOLESALER,Truck,2009,3,7,2009-07-31,2009-06-08,-53,On Time,Early,ARV,43.2,,Absorbed,,
2477,Guyana,"Orgenics, Ltd",Air,2009,2,6,2009-06-05,2009-06-05,0,On Time,On Time,HRDT,38250.0,1859.79,Separate,130.0,4.86
2478,Guyana,"Orgenics, Ltd",Air,2009,3,7,2009-07-01,2009-07-01,0,On Time,On Time,HRDT,24840.0,1205.7,Separate,87.0,4.85
2481,South Africa,S. BUYS WHOLESALER,Truck,2009,2,5,2009-05-15,2009-04-23,-22,On Time,Early,ARV,300.2,,Absorbed,,
2499,Nigeria,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,2009,2,5,2009-05-20,2009-05-20,0,On Time,On Time,ARV,3000.3,1332.43,Separate,69.0,44.41
2502,Kenya,"Trinity Biotech, Plc",Air,2009,2,6,2009-06-18,2009-06-18,0,On Time,On Time,HRDT,160.0,12561.4,Separate,2.0,7850.88
